id,name,popularity
12lZTPlXwUtrQuhEty6098,Raise Your Glass,61
1jF7IL57ayN4Ity3jQqGu0,Try,69
1piKQrJZ18Mrx7Zen6HrpB,Please Don't Leave Me,48
2Aebl2cIDLjPUvOJPH8xyH,Just Like a Pill,14
6cSQSGa2tFufkTdlKs2TKN,U + Ur Hand,49
19qn6oU2t0E72ENA0aWNsX,So What,61
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),76
2ZQ4Q9xL7W8FEgO1d4o7YH,Don't Let Me Get Me - Radio Edit,10
5rgy6ghBq1eRApCkeUdJXf,We Are Young (feat. Janelle Monáe),70
67WTwafOMgegV6ABnBQxcE,Some Nights,67
53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),62
